Date,Stock,Entry,Exit,Qty,Invested,PnL,PnL_%,Cumulative_PnL,Result,Stop_Loss,Target,RF_Conf,XGB_Conf
2025-09-26,SBIN.NS,856.95,870.75,1.0,856.95,13.8,1.61,41.59,HOLD_CLOSE,839.03,892.79,0.443,0.666
2024-11-28,RELIANCE.NS,1265.74,1287.06,1.0,1265.74,21.31,1.68,62.9,HOLD_CLOSE,1225.15,1346.94,0.531,0.715
2024-12-10,RELIANCE.NS,1279.74,1273.12,1.0,1279.74,-6.62,-0.52,56.28,HOLD_CLOSE,1242.66,1353.89,0.517,0.646
2024-12-12,RELIANCE.NS,1257.88,1267.79,1.0,1257.88,9.91,0.79,66.19,HOLD_CLOSE,1222.65,1328.34,0.539,0.687
2024-12-13,RELIANCE.NS,1267.79,1263.25,1.0,1267.79,-4.53,-0.36,61.66,HOLD_CLOSE,1231.27,1340.81,0.535,0.805
2024-12-16,RELIANCE.NS,1263.25,1240.35,1.0,1263.25,-22.91,-1.81,38.75,HOLD_CLOSE,1227.81,1334.15,0.505,0.615
2024-12-17,RELIANCE.NS,1240.35,1248.26,1.0,1240.35,7.92,0.64,46.67,HOLD_CLOSE,1204.71,1311.62,0.532,0.665
2024-12-24,RELIANCE.NS,1217.89,1211.71,1.0,1217.89,-6.18,-0.51,40.49,HOLD_CLOSE,1182.67,1288.31,0.554,0.554
2024-12-31,RELIANCE.NS,1210.61,1216.39,1.0,1210.61,5.78,0.48,46.27,HOLD_CLOSE,1179.36,1273.12,0.577,0.565
2025-01-01,RELIANCE.NS,1216.39,1236.86,1.0,1216.39,20.47,1.68,66.74,HOLD_CLOSE,1185.81,1277.57,0.589,0.658
2025-01-02,RELIANCE.NS,1236.86,1246.17,1.0,1236.86,9.31,0.75,76.05,HOLD_CLOSE,1205.85,1298.88,0.584,0.773
2025-01-03,RELIANCE.NS,1246.17,1214.54,1.0,1246.17,-31.63,-2.54,44.42,STOP_LOSS,1214.54,1309.43,0.573,0.795
2025-01-06,RELIANCE.NS,1213.15,1235.91,1.0,1213.15,22.76,1.88,67.18,HOLD_CLOSE,1178.77,1281.93,0.561,0.562
2025-01-13,RELIANCE.NS,1234.92,1233.82,1.0,1234.92,-1.1,-0.09,66.08,HOLD_CLOSE,1200.43,1303.89,0.542,0.656
2025-01-14,RELIANCE.NS,1233.82,1247.22,1.0,1233.82,13.4,1.09,79.48,HOLD_CLOSE,1199.01,1303.44,0.536,0.671
2025-01-29,RELIANCE.NS,1230.59,1248.07,1.0,1230.59,17.48,1.42,96.96,HOLD_CLOSE,1194.11,1303.54,0.517,0.712
2025-02-27,RELIANCE.NS,1202.3,1195.33,1.0,1202.3,-6.97,-0.58,89.99,HOLD_CLOSE,1170.3,1266.29,0.548,0.639
2025-03-04,RELIANCE.NS,1157.28,1170.92,1.0,1157.28,13.65,1.18,103.64,HOLD_CLOSE,1122.91,1226.02,0.561,0.678
2025-03-06,RELIANCE.NS,1204.79,1244.83,1.0,1204.79,40.04,3.32,143.68,HOLD_CLOSE,1168.48,1277.4,0.553,0.709
2025-03-07,RELIANCE.NS,1244.83,1233.47,1.0,1244.83,-11.35,-0.91,132.33,HOLD_CLOSE,1206.29,1321.9,0.544,0.634
